country,year,decade,population,gdp,electricity_demand,electricity_demand_per_capita,electricity_generation,electricity_share_energy,net_elec_imports,net_elec_imports_share_demand,demand_group,gdp_group,combination,log_generation
Sweden,1990,1990,8558526.0,240234004480.0,144.21,16849.865,145.98,39.165,-1.77,-1.227,Medium Demand,Low GDP,Low GDP / Medium Demand,4.990296523100725
Sweden,1991,1990,8616913.0,237950140416.0,145.68,16906.285,146.97,39.382,-1.29,-0.886,Medium Demand,Low GDP,Low GDP / Medium Demand,4.997009550514443
Sweden,1992,1990,8667529.0,235756847104.0,143.77,16587.195,145.93,37.787,-2.16,-1.502,Low Demand,Low GDP,Low GDP / Low Demand,4.989956282887855
Sweden,1993,1990,8717989.0,231558414336.0,144.67,16594.424,145.26,37.887,-0.59,-0.408,Medium Demand,Low GDP,Low GDP / Medium Demand,4.985385859842805
Sweden,1994,1990,8780150.0,241524293632.0,142.96,16282.183,142.7,36.157,0.26,0.182,Low Demand,Low GDP,Low GDP / Low Demand,4.967727793084979
Sweden,1995,1990,8826250.0,251741126656.0,146.6,16609.547,148.28,37.116,-1.68,-1.146,Medium Demand,Low GDP,Low GDP / Medium Demand,5.005823737099034
Sweden,1996,1990,8840281.0,256498925568.0,146.75,16600.15,140.61,34.501,6.14,4.184,Medium Demand,Low GDP,Low GDP / Medium Demand,4.953076800234967
Sweden,1997,1990,8845470.0,264171110400.0,146.5,16562.15,149.21,37.0,-2.71,-1.85,Medium Demand,Low GDP,Low GDP / Medium Demand,5.012034315009963
Sweden,1998,1990,8850553.0,276040712192.0,148.09,16732.287,158.79,38.024,-10.7,-7.225,High Demand,Low GDP,Low GDP / High Demand,5.073860453151297
Sweden,1999,1990,8857642.0,289702805504.0,147.36,16636.482,154.84,37.892,-7.48,-5.076,High Demand,Low GDP,Low GDP / High Demand,5.048829839894225
Sweden,2000,2000,8872062.0,303452356608.0,149.91,16896.861,145.23,37.939,4.68,3.122,High Demand,Low GDP,Low GDP / High Demand,4.985180724623787
Sweden,2001,2000,8895980.0,308398096384.0,154.31,17346.037,161.6,40.183,-7.29,-4.724,High Demand,Low GDP,Low GDP / High Demand,5.0912931971137105
Sweden,2002,2000,8924991.0,317463789568.0,152.06,17037.553,146.7,37.696,5.36,3.525,High Demand,Medium GDP,Medium GDP / High Demand,4.995183189537334
Sweden,2003,2000,8958387.0,326402408448.0,148.22,16545.389,135.39,35.995,12.83,8.656,High Demand,Medium GDP,Medium GDP / High Demand,4.915518428938784
Sweden,2004,2000,8993754.0,341901246464.0,149.46,16618.201,151.56,38.326,-2.1,-1.405,High Demand,Medium GDP,Medium GDP / High Demand,5.027557961292164
Sweden,2005,2000,9029713.0,354496937984.0,150.97,16719.246,158.36,40.3,-7.39,-4.895,High Demand,Medium GDP,Medium GDP / High Demand,5.071165793836288
Sweden,2006,2000,9080584.0,372234682368.0,149.32,16443.877,143.28,37.657,6.04,4.045,High Demand,Medium GDP,Medium GDP / High Demand,4.9717558560353385
Sweden,2007,2000,9148219.0,387881828352.0,150.14,16411.938,148.82,39.036,1.32,0.879,High Demand,Medium GDP,Medium GDP / High Demand,5.009434573519737
Sweden,2008,2000,9219853.0,388980506624.0,147.94,16045.81,149.9,39.627,-1.96,-1.325,High Demand,Medium GDP,Medium GDP / High Demand,5.016617365773803
Sweden,2009,2000,9298692.0,373026357248.0,141.29,15194.609,136.6,39.55,4.69,3.319,Low Demand,Medium GDP,Medium GDP / Low Demand,4.924350925499243
Sweden,2010,2010,9378187.0,399838969856.0,150.53,16051.077,148.45,39.817,2.08,1.382,High Demand,Medium GDP,Medium GDP / High Demand,5.006961888729947
Sweden,2011,2010,9449207.0,397617922048.0,143.05,15138.837,150.28,42.006,-7.23,-5.054,Low Demand,Medium GDP,Medium GDP / Low Demand,5.019132424350202
Sweden,2012,2010,9519430.0,395278745600.0,146.87,15428.444,166.44,45.721,-19.57,-13.325,Medium Demand,Medium GDP,Medium GDP / Medium Demand,5.120625078137745
Sweden,2013,2010,9600578.0,399973744640.0,143.03,14898.062,153.03,43.951,-10.0,-6.992,Low Demand,High GDP,High GDP / Low Demand,5.037147388636367
Sweden,2014,2010,9696389.0,410604240896.0,137.94,14225.915,153.56,44.471,-15.62,-11.324,Low Demand,High GDP,High GDP / Low Demand,5.040582370464208
Sweden,2015,2010,9799437.0,429037420544.0,139.4,14225.307,162.0,45.775,-22.6,-16.212,Low Demand,High GDP,High GDP / Low Demand,5.093750200806762
Sweden,2016,2010,9923227.0,437921054720.0,144.16,14527.532,155.89,43.949,-11.73,-8.137,Medium Demand,High GDP,High GDP / Medium Demand,5.055544922844864
Sweden,2017,2010,10057811.0,449166540800.0,145.24,14440.519,164.23,44.975,-18.99,-13.075,Medium Demand,High GDP,High GDP / Medium Demand,5.1073384426629
Sweden,2018,2010,10175356.0,457925394432.0,146.14,14362.151,163.36,47.022,-17.22,-11.783,Medium Demand,High GDP,High GDP / Medium Demand,5.102059144015209
Sweden,2019,2010,10279068.0,467020677120.0,142.26,13839.775,168.42,47.333,-26.16,-18.389,Low Demand,High GDP,High GDP / Low Demand,5.132380839003405
Sweden,2020,2020,10353627.0,456885338112.0,138.78,13403.998,163.78,48.585,-25.0,-18.014,Low Demand,High GDP,High GDP / Low Demand,5.104611250887444
Sweden,2021,2020,10416075.0,481492434944.0,146.21,14036.958,171.78,47.76,-25.57,-17.489,Medium Demand,High GDP,High GDP / Medium Demand,5.152019108930738
Sweden,2022,2020,10487289.0,494214545408.0,139.83,13333.284,173.05,49.918,-33.22,-23.757,Low Demand,High GDP,High GDP / Low Demand,5.159342614257448
Sweden,2023,2020,10551441.0,494214545408.0,137.95,13074.043,166.44,49.381,-28.49,-20.652,Low Demand,High GDP,High GDP / Low Demand,5.120625078137745
Sweden,2024,2020,10606934.0,494214545408.0,139.32,13134.805,172.79,50.992,-33.47,-24.024,Low Demand,High GDP,High GDP / Low Demand,5.157847673776643
